rodada,data,dia da semana,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,perdedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,edição
19,2019-09-15,Domingo,16:00,Fluminense,Corinthians,4-2-3-1,4-1-4-1,O. de Oliveira Filho,F. Carille,Fluminense,Corinthians,Estádio Nacional de Brasília,1,0,RJ,SP,2019
19,2019-09-15,Domingo,16:02,Bahia,Fortaleza,4-2-3-1,4-2-3-1,R. Machado Marques,J. Mannarino,Empate,Empate,Itaipava Arena Fonte Nova,1,1,BA,CE,2019
19,2019-09-15,Domingo,19:01,Sao Paulo,CSA,4-2-3-1,4-2-3-1,A. Stival,A. Fucks,Empate,Empate, Morumbi,1,1,SP,AL,2019
20,2019-09-21,Sábado,11:01,Botafogo-RJ,Sao Paulo,4-1-4-1,4-1-4-1,E. de Souza Barroca,A. Stival,Sao Paulo,Botafogo-RJ,Estádio Nilton Santos,1,2,RJ,SP,2019
20,2019-09-21,Sábado,17:00,Cruzeiro,Flamengo,4-2-3-1,4-2-3-1,R. Ceni,J. Pinheiro de Jesus,Flamengo,Cruzeiro, Mineirão,1,2,MG,RJ,2019
20,2019-09-21,Sábado,19:03,Corinthians,Bahia,4-1-4-1,4-1-4-1,F. Carille,R. Machado Marques,Corinthians,Bahia,Neo Química Arena,2,1,SP,BA,2019
20,2019-09-21,Sábado,21:00,Santos,Gremio,4-3-3,4-2-3-1,J. Sampaoli Moya,Renato Gaúcho,Gremio,Santos,Estádio Urbano Caldeira,0,3,SP,RS,2019
20,2019-09-22,Domingo,11:00,Internacional,Chapecoense,4-3-3,4-1-4-1,O. Hellmann,M. dos Santos Gonçalves,Internacional,Chapecoense,Estádio José Pinheiro Borda,1,0,RS,SC,2019
20,2019-09-22,Domingo,14:14,Vasco,Athletico-PR,4-1-4-1,4-1-4-1,V. Luxemburgo da Silva,T. Retzalff Nunes,Empate,Empate,Estádio Vasco da Gama,1,1,RJ,PR,2019
20,2019-09-22,Domingo,16:00,Fortaleza,Palmeiras,4-2-3-1,4-2-3-1,J. Mannarino,L. Venker de Menezes,Palmeiras,Fortaleza,Arena Castelão,0,1,CE,SP,2019
20,2019-09-22,Domingo,16:01,CSA,Ceara,4-2-3-1,4-2-3-1,A. Fucks,E. Alves Moreira,CSA,Ceara,Estádio Rei Pelé,1,0,AL,CE,2019
20,2019-09-22,Domingo,19:00,Goias,Fluminense,4-4-1-1,4-2-3-1,N. da Silveira Júnior,O. de Oliveira Filho,Goias,Fluminense,Estádio do Governo do Estado de Goiás (Serra Dourada),3,0,GO,RJ,2019
20,2019-09-23,Segunda-feira,20:00,Avai,Atletico-MG,4-1-4-1,4-2-3-1,A. Valentim do Carmo Neto,R. Marques Santana,Avai,Atletico-MG,  Ressacada,1,0,SC,MG,2019
21,2019-09-25,Quarta-feira,19:30,Ceara,Cruzeiro,4-2-3-1,4-1-4-1,E. Alves Moreira,R. Ceni,Empate,Empate,Arena Castelão,0,0,CE,MG,2019
21,2019-09-25,Quarta-feira,21:30,Bahia,Botafogo-RJ,4-1-4-1,4-4-1-1,R. Machado Marques,E. de Souza Barroca,Bahia,Botafogo-RJ,Itaipava Arena Fonte Nova,2,0,BA,RJ,2019
21,2019-09-25,Quarta-feira,21:30,Flamengo,Internacional,4-2-3-1,4-3-3,J. Pinheiro de Jesus,O. Hellmann,Flamengo,Internacional, Maracanã,3,1,RJ,RS,2019
21,2019-09-25,Quarta-feira,21:31,Sao Paulo,Goias,4-2-3-1,4-4-1-1,A. Stival,N. da Silveira Júnior,Goias,Sao Paulo, Morumbi,0,1,SP,GO,2019
21,2019-09-26,Quinta-feira,19:15,Palmeiras,CSA,4-2-3-1,4-2-3-1,L. Venker de Menezes,A. Fucks,Palmeiras,CSA,Estádio Municipal Paulo Machado de Carvalho,6,2,SP,AL,2019
21,2019-09-26,Quinta-feira,20:00,Fluminense,Santos,4-1-4-1,3-4-3,O. de Oliveira Filho,J. Sampaoli Moya,Empate,Empate, Maracanã,1,1,RJ,SP,2019
21,2019-09-26,Quinta-feira,20:00,Gremio,Avai,4-2-3-1,4-1-4-1,Renato Gaúcho,A. Valentim do Carmo Neto,Gremio,Avai,Arena do Grêmio,6,1,RS,SC,2019
21,2019-09-26,Quinta-feira,21:31,Athletico-PR,Fortaleza,4-1-4-1,4-2-3-1,T. Retzalff Nunes,J. Mannarino,Athletico-PR,Fortaleza,Estádio Joaquim Américo Guimarães,4,1,PR,CE,2019
22,2019-09-28,Sábado,19:00,Flamengo,Sao Paulo,4-2-3-1,4-1-4-1,J. Pinheiro de Jesus,F. Diniz Silva,Empate,Empate, Maracanã,0,0,RJ,SP,2019
22,2019-09-29,Domingo,11:03,Corinthians,Vasco,4-1-4-1,4-3-3,F. Carille,V. Luxemburgo da Silva,Corinthians,Vasco,Neo Química Arena,1,0,SP,RJ,2019
